"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"",0.86351675364135,0.787651246696367,0.906587287486692,0.80873324920714,0.877443222686589,0.789231880874048,0.722691641908272,0.850958645914441,0.811787077095888,0.864509571174805,0.769934183229136,0.932182339090926,0.671215764392018,0.865737950986189,0.851362990135133,0.858132519349841,0.821603740742726,0.827878498907056,0.901142092350645,0.862605323648503
"",0.914567266321017,0.8990430677222,0.907911928703404,0.893047698355696,0.917676221363743,0.900628678674946,0.875875259171854,0.867641235727209,0.908769684880437,0.864964281831595,0.848385728754443,0.904115336260952,0.900623843829629,0.851329850341595,0.905774824371779,0.855719462814977,0.87542678882672,0.876982471137973,0.884145449081665,0.88124763299934
"",0.895877375202604,0.852411889157557,0.837791401588142,0.862071816630521,0.686865320216899,0.833444207457967,0.822592669595682,0.756784804959579,0.764083270977455,0.853796092672003,0.799868636385395,0.844934886099688,0.892231719524189,0.773648088733371,0.841991784062481,0.780781856697972,0.852772173155117,0.805028935848021,0.910637342650979,0.881714048086221
"",0.142730127831803,0.164094347884863,0.130622040763374,0.115531244933793,0.128174071065522,0.183355175265362,0.152293845670005,0.163777060565938,0.148816233621635,0.119095696525002,0.162582371583384,0.144064686744254,0.17505795701473,0.149188220538637,0.18465836365925,0.121178576438435,0.171262438601231,0.125212714324498,0.119292005652035,0.0991385770239657
"",0.206649503438575,0.251062872198421,0.219638974171076,0.452945190850161,0.632456604191672,0.412273776733646,0.171541358410262,0.179025893392695,0.0939490056320076,0.357021074773742,0.427038169111747,0.628064020171492,0.339262875817522,0.318002964756014,0.15222628060124,0.226022706853063,0.413072565995694,0.493886060024079,0.293964170973074,0.41964421396157
"",0.320173454743112,0.221904635038601,0.325098737346232,0.228785313763105,0.299187215401904,0.258615257292123,0.155280809833418,0.472525582447347,0.211026623776366,0.428286256685795,0.445435951564681,0.389045533467605,0.134835652390902,0.485767222349614,0.215857000124198,0.214009984918774,0.44665337093815,0.168312124737015,0.282487276638519,0.201990507837346
"",0.205203359386333,0.215093751304266,0.248878691787184,0.191077347847267,0.268694906911797,0.131116278113553,0.167463359041049,0.179820469886482,0.124745668913348,0.144906794135179,0.262749617001559,0.166972664757968,0.226965393764939,0.185355728906541,0.239003426959412,0.3165958103612,0.14794598873487,0.259779703278014,0.214885120050505,0.23647136262839
"",0.182257290447628,0.200339974069938,0.204740855734182,0.213491613078478,0.216899616501749,0.192300839344947,0.202364280591828,0.272201500923214,0.274574389847609,0.182490744962775,0.230969761372523,0.23413270993302,0.199238522516151,0.227081124315241,0.189186281471669,0.225303367557862,0.243579261545019,0.184698321556452,0.217983130000762,0.221655526467531
"",0.0799472755928938,0.175627288504952,0.164182290298495,0.0542581772498536,0.225553832748453,0.199949681784863,0.101186597303358,0.115915959581598,0.0607555053086938,0.0586762548423552,0.0325760751669134,0.0794023189608215,0.104769402723218,0.0685441479333607,0.156078096381808,0.0668788632251544,0.170248736242339,0.030676216809044,0.0790521713576023,0.240819344205308
"",0.67480316517383,0.646438676657854,0.635047191181994,0.704177002883881,0.647078363954768,0.641794095381004,0.64592901603394,0.660877456226878,0.697746244843006,0.670344740589386,0.68720271185001,0.672851715170259,0.674932612137844,0.646630477066109,0.652144623495058,0.668232883812367,0.695541339525746,0.61216500007704,0.650352393089277,0.667622235623612
"",0.635223736308759,0.695265648944003,0.763429926356253,0.620039610299008,0.75282286299028,0.721087200380532,0.646602208700499,0.568629090662558,0.801160579393804,0.726939615488246,0.70945303843976,0.724476580920072,0.505058380264988,0.70403224668104,0.749009770059502,0.722631161322985,0.821269269355659,0.727498588527832,0.708791291118297,0.576447259480913
"",0.620767178185303,0.601276600482884,0.556208007849765,0.624935419916966,0.680307233635653,0.680260773414659,0.593086519983413,0.546413664491243,0.617451092333221,0.645766133610725,0.567322112985276,0.506743449901229,0.580540013364506,0.636229969710879,0.625885061696584,0.667656119294697,0.724319596257309,0.710196260683206,0.606960441146195,0.618617551983506
"pi",0.0948100522265874,0.157126548379931,0.0804307714775066,0.10822538093798,0.106856925925885,0.10882223273971,0.0764323737780467,0.0793671405999109,0.101026136996418,0.0767910613465372,0.079241204298705,0.0706566462530908,0.121944758184375,0.0696379758544315,0.070986421149915,0.128994777863898,0.105799921292749,0.124963752836268,0.110309130651886,0.0763731323266557
